date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:09	178504/178504	---M--	200	added ('OK')	font/woff	etag:%225bdc47e0-2b948%22	http://kotlis.kwst.net/light/fonts/fa-regular-400.woff	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-regular-400.woff	(from http://kotlis.kwst.net/light/css/plugins.css)
22:50:14	373744/373744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-5b3f0%22	http://kotlis.kwst.net/light/fonts/fa-regular-400.eot	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-regular-400.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:50:33	373744/373744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-5b3f0%22	http://kotlis.kwst.net/light/fonts/fa-regular-400.eot?	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-regular-400d41d.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:50:39	1491467/1491467	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bdc47e0-16c20b%22	http://kotlis.kwst.net/light/fonts/fa-regular-400.svg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-regular-400.svg	(from http://kotlis.kwst.net/light/css/plugins.css)
22:50:58	373520/373520	---M--	200	added ('OK')	application/octet-stream	etag:%225bdc47e0-5b310%22	http://kotlis.kwst.net/light/fonts/fa-regular-400.ttf	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-regular-400.ttf	(from http://kotlis.kwst.net/light/css/plugins.css)
22:50:58	110892/110892	---M--	200	added ('OK')	font/woff2	etag:%225bdc47e0-1b12c%22	http://kotlis.kwst.net/light/fonts/fa-solid-900.woff2	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-solid-900.woff2	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:17	317116/317116	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-4d6bc%22	http://kotlis.kwst.net/light/fonts/fa-solid-900.eot	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-solid-900.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:24	147060/147060	---M--	200	added ('OK')	font/woff	etag:%225bdc47e0-23e74%22	http://kotlis.kwst.net/light/fonts/fa-solid-900.woff	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-solid-900.woff	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:26	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://kotlis.kwst.net/light/fonts/lg.eot?n1z373	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/lgd641.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:27	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://kotlis.kwst.net/light/fonts/lg.eot?	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/lgd41d.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:29	2692/2692	---M--	200	added ('OK')	font/woff	etag:%225695b55c-a84%22	http://kotlis.kwst.net/light/fonts/lg.woff?n1z373	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/lgd641.woff	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:31	2616/2616	---M--	200	added ('OK')	application/octet-stream	etag:%225695b55c-a38%22	http://kotlis.kwst.net/light/fonts/lg.ttf?n1z373	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/lgd641.ttf	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:33	4094/4094	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225695b55c-ffe%22	http://kotlis.kwst.net/light/fonts/lg.svg?n1z373	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/lgd641.svg	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:34	3785/3785	---MC-	424	error ('Failed%20Dependency')	text/html	date:Thu,%2028%20Oct%202021%2015:51:34%20GMT	http://kotlis.kwst.net/light/img/vimeo-play.png	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/img/vimeo-play.png	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:36	3785/3785	---MC-	424	error ('Failed%20Dependency')	text/html	date:Thu,%2028%20Oct%202021%2015:51:35%20GMT	http://kotlis.kwst.net/light/img/video-play.png	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/img/video-play.png	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:36	3785/3785	---MC-	424	error ('Failed%20Dependency')	text/html	date:Thu,%2028%20Oct%202021%2015:51:36%20GMT	http://kotlis.kwst.net/light/img/youtube-play.png	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/img/youtube-play.png	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:38	4178/4178	---M--	200	added ('OK')	image/gif	etag:%225c13cb2e-1052%22	http://kotlis.kwst.net/light/images/loading.gif	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/loading.gif	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:39	317116/317116	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-4d6bc%22	http://kotlis.kwst.net/light/fonts/fa-solid-900.eot?	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-solid-900d41d.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:51:40	1213151/1213151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bdc47e0-1282df%22	http://kotlis.kwst.net/light/fonts/fa-solid-900.svg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-solid-900.svg	(from http://kotlis.kwst.net/light/css/plugins.css)
22:52:01	316900/316900	---M--	200	added ('OK')	application/octet-stream	etag:%225bdc47e0-4d5e4%22	http://kotlis.kwst.net/light/fonts/fa-solid-900.ttf	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-solid-900.ttf	(from http://kotlis.kwst.net/light/css/plugins.css)
22:52:21	254140/254140	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fb6-3e0bc%22	http://kotlis.kwst.net/light/images/bg/8.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/8.jpg	(from http://kotlis.kwst.net/light/index3.html)
22:52:24	279080/279080	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fbc-44228%22	http://kotlis.kwst.net/light/images/bg/10.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/10.jpg	(from http://kotlis.kwst.net/light/index2.html)
